267	GV-60255	rtc	2025-06-26	19:38:42.103	123	72
268	KX-08416	rtc	2025-06-26	19:39:00.192	99	64
269	KX-57659	rtc	2025-06-26	19:39:05.103	125	58
270	CP-00305	rtc	2025-06-26	19:39:29.002	120	61
271	LR-00811	rtc	2025-06-26	19:39:55.854	118	75
272	GP-83110	rtc	2025-06-26	19:39:57.59	105	63
273	LN-34063	rtc	2025-06-26	19:40:19.564	129	73
274	SL-62266	rtc	2025-06-26	19:40:48.882	133	76
275	LN-62404	rtc	2025-06-26	19:41:09.371	133	65
276	RX-78582	rtc	2025-06-26	19:41:16.523	136	77
277	CW-61125	rtc	2025-06-26	19:41:28.911	119	66
278	GF-69798	rtc	2025-06-26	19:42:04.974	144	73
279	KP-60219	rtc	2025-06-26	19:42:07.161	130	80
280	LK-80130	rtc	2025-06-26	19:42:25.814	125	66
281	RV-17124	rtc	2025-06-26	19:42:40.295	105	69
282	FW-38370	rtc	2025-06-26	19:42:40.721	150	74
283	LV-85786	rtc	2025-06-26	19:42:46.106	128	77
284	HC-83285	rtc	2025-06-26	19:42:47.409	124	6
285	FW-60682	rtc	2025-06-26	19:42:53.455	129	72
286	LG-13501	rtc	2025-06-26	19:43:20.372	131	68
287	GF-29264	rtc	2025-06-26	19:43:25.819	144	81
288	CN-41373	rtc	2025-06-26	19:43:32.915	154	76
289	FP-86983	rtc	2025-06-26	19:44:25.998	145	75
290	FG-54443	rtc	2025-06-26	19:44:53.248	104	62
291	LP-03057	rtc	2025-06-26	19:44:53.91	120	53
292	GG-51543	rtc	2025-06-26	19:45:03.383	104	64
293	NR-91128	rtc	2025-06-26	19:45:23.316	123	74
294	GP-31281	rtc	2025-06-26	19:45:33.432	127	64
295	SL-56629	rtc	2025-06-26	19:45:36.015	134	79
296	PH-62812	rtc	2025-06-26	19:45:38.473	132	76
297	LW-00301	rtc	2025-06-26	19:45:54.237	147	72
298	HT-30097	rtc	2025-06-26	19:45:54.611	131	70
299	LN-17520	rtc	2025-06-26	19:46:28.067	103	55
300	FW-30736	rtc	2025-06-26	19:46:28.33	120	73
301	GV-12435	rtc	2025-06-26	19:46:41.09	115	79
302	FW-21685	rtc	2025-06-26	19:46:44.562	95	64
303	LR-66141	rtc	2025-06-26	19:47:03.68	101	64
304	FV-49510	rtc	2025-06-26	19:47:11.301	137	66
305	LR-18243	rtc	2025-06-26	19:47:17.847	128	72
306	GT-27861	rtc	2025-06-26	19:47:23.737	134	57
307	GT-27925	rtc	2025-06-26	19:47:27.98	118	66
308	CK-19263	rtc	2025-06-26	19:47:47.345	95	5
309	PV-95861	rtc	2025-06-26	19:47:49.221	131	70
310	KG-44017	rtc	2025-06-26	19:48:08.824	121	75
311	KT-13129	rtc	2025-06-26	19:48:24.417	118	67
312	FZ-87594	rtc	2025-06-26	19:48:40.39	130	72
313	HC-10200	rtc	2025-06-26	19:48:57.314	150	73
314	FR-64273	rtc	2025-06-26	19:49:00.508	135	73
315	FW-34713	rtc	2025-06-26	19:49:00.249	109	68
316	KZ-28953	rtc	2025-06-26	19:49:01.661	99	43
317	FZ-53327	rtc	2025-06-26	19:49:21.995	135	80
318	FW-36577	rtc	2025-06-26	19:49:25.965	139	63
319	GW-59062	rtc	2025-06-26	19:49:26.771	116	65
320	FP-69647	rtc	2025-06-26	19:49:32.405	135	73
321	HK-19996	rtc	2025-06-26	19:49:37.207	133	79
322	HF-49875	rtc	2025-06-26	19:49:42.04	123	76
323	GL-08020	rtc	2025-06-26	19:49:43.76	132	74
324	LP-08372	rtc	2025-06-26	19:49:47.444	158	72
325	LP-50675	rtc	2025-06-26	19:49:53.887	124	73
326	KX-08416	rtc	2025-06-26	19:50:18.28	92	66
327	HT-99567	rtc	2025-06-26	19:50:18.825	123	79
328	LP-96841	rtc	2025-06-26	19:50:26.477	120	70
329	GV-60255	rtc	2025-06-26	19:50:27.179	122	73
330	KX-57659	rtc	2025-06-26	19:50:28.011	121	64
331	LR-00811	rtc	2025-06-26	19:50:39.1	115	76
332	CP-00305	rtc	2025-06-26	19:51:14.342	115	72
333	GF-69798	rtc	2025-06-26	19:51:29.923	135	75
334	GP-83110	rtc	2025-06-26	19:51:52.199	139	72
335	HC-83285	rtc	2025-06-26	19:52:19.769	122	6
336	LG-13501	rtc	2025-06-26	19:52:48.086	114	66
337	LN-34063	rtc	2025-06-26	19:52:53.579	135	78
338	SL-62266	rtc	2025-06-26	19:53:13.386	129	81
339	GF-29264	rtc	2025-06-26	19:54:03.593	141	80
340	CW-61125	rtc	2025-06-26	19:54:10.077	113	73
341	FG-54443	rtc	2025-06-26	19:54:50.744	112	57
342	LN-62404	rtc	2025-06-26	19:54:57.308	119	74
343	LP-03057	rtc	2025-06-26	19:55:04.574	104	59
344	GG-51543	rtc	2025-06-26	19:55:05.135	135	64
345	RX-78582	rtc	2025-06-26	19:55:30.088	136	74
346	PH-62812	rtc	2025-06-26	19:55:37.938	145	82
347	KP-60219	rtc	2025-06-26	19:55:44.994	123	78
348	GP-31281	rtc	2025-06-26	19:55:53.519	127	67
349	FW-38370	rtc	2025-06-26	19:56:05.758	113	72
350	SL-56629	rtc	2025-06-26	19:56:14.558	125	72
351	LK-80130	rtc	2025-06-26	19:56:16.848	122	73
352	HT-30097	rtc	2025-06-26	19:56:17.899	132	67
353	LW-00301	rtc	2025-06-26	19:56:25.812	143	71
354	RV-17124	rtc	2025-06-26	19:56:41.108	117	71
355	FW-30736	rtc	2025-06-26	19:56:41.863	108	72
356	LN-17520	rtc	2025-06-26	19:56:44.203	97	59
357	FW-60682	rtc	2025-06-26	19:56:51.315	123	72
358	FW-21685	rtc	2025-06-26	19:57:00.73	127	73
359	GV-12435	rtc	2025-06-26	19:57:12.919	114	79
360	FV-49510	rtc	2025-06-26	19:57:29.011	114	67
361	LR-18243	rtc	2025-06-26	19:57:29.702	136	73
362	LR-66141	rtc	2025-06-26	19:57:30.841	104	64
363	CN-41373	rtc	2025-06-26	19:58:30.002	123	76
364	GT-27925	rtc	2025-06-26	19:58:37.499	133	68
365	CK-19263	rtc	2025-06-26	19:58:55.984	92	5
366	KG-44017	rtc	2025-06-26	19:59:03.275	116	81
367	KT-13129	rtc	2025-06-26	19:59:11.687	131	66
368	FP-86983	rtc	2025-06-26	19:59:22.548	111	72
369	HC-10200	rtc	2025-06-26	19:59:51.602	160	77
370	FW-34713	rtc	2025-06-26	20:00:03.687	129	68
371	NR-91128	rtc	2025-06-26	20:00:05.182	117	70
372	KZ-28953	rtc	2025-06-26	20:00:11.522	94	36
373	FR-64273	rtc	2025-06-26	20:00:13.404	136	72
374	GW-59062	rtc	2025-06-26	20:00:46.197	127	68
375	FZ-53327	rtc	2025-06-26	20:00:47.349	133	76
376	GF-69798	rtc	2025-06-26	20:00:52.961	143	76
377	HF-49875	rtc	2025-06-26	20:00:54.54	126	75
378	FW-36577	rtc	2025-06-26	20:00:55.304	148	70
379	LP-08372	rtc	2025-06-26	20:01:09.388	138	68
380	LP-50675	rtc	2025-06-26	20:01:13.888	146	74
381	HK-19996	rtc	2025-06-26	20:01:41.523	109	69
382	LR-00811	rtc	2025-06-26	20:01:44.091	155	83
383	KX-57659	rtc	2025-06-26	20:01:48.142	124	65
384	HC-83285	rtc	2025-06-26	20:01:57.891	120	6
385	GV-60255	rtc	2025-06-26	20:02:16.377	127	76
386	LP-96841	rtc	2025-06-26	20:02:24.903	122	68
387	LG-13501	rtc	2025-06-26	20:02:32.338	119	66
388	GT-27861	rtc	2025-06-26	20:04:13.179	136	52
389	FG-54443	rtc	2025-06-26	20:04:39.777	110	74
390	GF-29264	rtc	2025-06-26	20:04:45.509	138	81
391	LP-03057	rtc	2025-06-26	20:05:04.764	105	47
392	GG-51543	rtc	2025-06-26	20:05:04.897	97	49
393	LN-34063	rtc	2025-06-26	20:05:47.82	141	77
394	LV-85786	rtc	2025-06-26	20:06:25.286	158	93
395	PH-62812	rtc	2025-06-26	20:06:29.835	146	86
396	LW-00301	rtc	2025-06-26	20:06:35.899	110	62
397	GP-31281	rtc	2025-06-26	20:06:36.032	131	61
398	HT-30097	rtc	2025-06-26	20:06:36.734	115	67
399	LN-17520	rtc	2025-06-26	20:07:00.877	123	56
400	GV-12435	rtc	2025-06-26	20:07:52.627	118	89
401	LR-66141	rtc	2025-06-26	20:07:56.244	93	57
402	FW-21685	rtc	2025-06-26	20:08:18.52	119	73
403	LN-62404	rtc	2025-06-26	20:09:07.02	141	73
404	GT-27925	rtc	2025-06-26	20:09:21.887	130	70
405	FW-38370	rtc	2025-06-26	20:09:25.909	139	70
406	CK-19263	rtc	2025-06-26	20:09:29.891	84	5
407	KG-44017	rtc	2025-06-26	20:09:41.67	141	77
408	KT-13129	rtc	2025-06-26	20:10:00.336	135	72
409	GF-69798	rtc	2025-06-26	20:10:29.101	152	79
410	FW-60682	rtc	2025-06-26	20:10:55.342	135	75
411	KZ-28953	rtc	2025-06-26	20:10:56.264	120	32
412	RV-17124	rtc	2025-06-26	20:11:21.244	122	75
413	FW-34713	rtc	2025-06-26	20:11:22.302	92	67
414	FR-64273	rtc	2025-06-26	20:11:46.727	133	69
415	HC-83285	rtc	2025-06-26	20:11:47.098	99	6
416	HF-49875	rtc	2025-06-26	20:11:49.984	130	75
417	GW-59062	rtc	2025-06-26	20:12:01.076	124	83
418	LG-13501	rtc	2025-06-26	20:12:12.965	116	69
419	FZ-53327	rtc	2025-06-26	20:12:29.112	145	85
420	LP-50675	rtc	2025-06-26	20:12:37.757	149	68
421	LP-08372	rtc	2025-06-26	20:12:39.573	161	79
422	KX-57659	rtc	2025-06-26	20:13:55.46	126	72
423	GV-60255	rtc	2025-06-26	20:14:01.434	131	75
424	LP-96841	rtc	2025-06-26	20:14:20.556	132	73
425	GF-29264	rtc	2025-06-26	20:15:43.32	145	70
426	GP-31281	rtc	2025-06-26	20:17:32.348	132	69
427	HF-49875	rtc	2025-06-26	20:22:44.569	123	76
428	LN-62404	rtc	2025-06-26	20:23:19.72	116	65
429	LN-62404	rtc	2025-06-26	20:23:40.509	118	64
430	RV-17124	rtc	2025-06-26	20:26:08.268	115	73
431	KT-30693	rtc	2025-08-06	17:45:55.961	184	111
432	FW-62367	rtc	2025-08-06	17:46:03.173	204	111
433	KT-30693	rtc	2025-08-06	17:46:05.484	135	111
434	SK-49480	rtc	2025-08-06	18:36:28.293	144	79
435	KV-68730	rtc	2025-08-06	18:36:45.852	128	100
436	FC-09405	rtc	2025-08-06	18:37:26.941	104	70
437	KG-27937	rtc	2025-08-06	18:37:28.708	130	65
438	PH-32145	rtc	2025-08-06	18:37:28.595	150	79
439	RS-19535	rtc	2025-08-06	18:37:41.109	148	97
440	RL-10411	rtc	2025-08-06	18:37:42.717	136	73
441	GL-58876	rtc	2025-08-06	18:37:42.807	136	82
442	HP-27244	rtc	2025-08-06	18:37:47.252	143	75
443	FP-11094	rtc	2025-08-06	18:37:51.43	139	79
444	HF-30556	rtc	2025-08-06	18:38:23.038	127	76
445	TH-65977	rtc	2025-08-06	18:38:24.774	129	84
446	SK-49480	rtc	2025-08-06	18:39:04.834	151	86
447	NL-90084	rtc	2025-08-06	18:39:28.995	149	81
448	FZ-15781	rtc	2025-08-06	18:39:29.213	154	74
449	CX-75815	rtc	2025-08-06	18:39:42.175	131	76
